Position Surname Number
310= MENZIES 131
310= SHEARER 131
314 GARDINER 130
315= CRUICKSHANK 129
315= HUTTON 129
317 DAVIES 128
318= BRADY 126
318= GOURLAY 126
318= HENRY 126
318= MILLS 126
318= PETRIE 126
318= SWAN 126
324= BRADLEY 125
324= DOYLE 125
324= WYLIE 125
327= HALLIDAY 124
327= LEITCH 124
327= MCPHEE 124
330= ARCHIBALD 123
330= BRODIE 123
330= MCCORMICK 123
330= MCKINLAY 123
334= HOLMES 122
334= NEILSON 122
336= KAY 121
336= MCCABE 121
336= MCLACHLAN 121
339= DEWAR 120
339= SPEIRS 120
339= WOODS 120
342= CONNOR 119
342= GLEN 119
342= HOOD 119
342= NICOLSON 119
342= RUTHERFORD 119
347= CARROLL 118
347= EASTON 118
347= FINLAYSON 118
347= FITZPATRICK 118
347= HOWIE 118
347= REYNOLDS 118
353= FULTON 117
353= PIRIE 117
355= FARRELL 116
355= LAWRIE 116
357= MCKINNON 115
357= MIDDLETON 115
357= SLOAN 115
360= MELVILLE 113
360= PAUL 113
360= ROSE 113
360= WADDELL 113
364= ELLIOTT 112
364= IRVING 112
364= MCDOWALL 112
367= CHISHOLM 111
367= DOW 111
367= HEPBURN 111
370= COLQUHOUN 110
370= FARQUHAR 110
370= FORD 110
370= KIDD 110
374 PENMAN 109
375= BYRNE 108
375= LEWIS 108
375= MANSON 108
378= BALLANTYNE 107
378= BREMNER 107
378= KEENAN 107
381= CULLEN 106
381= FREW 106
381= MCCONNELL 106
384= BRYSON 105
384= NICOLL 105
384= OLIVER 105
387= CHAPMAN 104
387= KIRKWOOD 104
387= MCNEIL 104
390= CALLAGHAN 103
390= CRICHTON 103
390= LEES 103
390= MACAULAY 103
390= MOONEY 103
395= DAVIS 102
395= MCCAFFERTY 102
395= MCCALL 102
395= MUIRHEAD 102
399= BEVERIDGE 101
399= FINLAY 101
399= GEMMELL 101
399= JEFFREY 101
399= JENKINS 101
399= LOWE 101
399= MONAGHAN 101
399= RIDDELL 101
407= CURRAN 99
407= ELLIS 99
407= FOSTER 99
407= KEMP 99
407= MCKECHNIE 99
412= ANGUS 98
412= BARRIE 98
412= EDGAR 98
412= LAIDLAW 98
412= SKINNER 98
417= CARSON 97
417= CONNELL 97
417= MACINNES 97
417= MATHESON 97
417= MCCOLL 97
417= MCMANUS 97
423= FOWLER 96
423= HUME 96
425= DALY 95
425= EWING 95
425= FYFE 95
425= MARR 95
429= FRAME 94
429= MACINTYRE 94
429= MACKINTOSH 94
432= AITCHISON 93
432= BARNES 93
432= ELDER 93
432= GALBRAITH 93
432= KEITH 93
432= MCCARTNEY 93
432= STARK 93
439= BLYTH 92
439= FORRESTER 92
439= GUTHRIE 92
439= ROONEY 92
439= SMALL 92
444 KIRKPATRICK 91
445= CONNOLLY 90
445= FLYNN 90
445= MACDOUGALL 90
445= PRENTICE 90
445= SHAND 90
445= WHITELAW 90
445= WILKINSON 90
452= COX 89
452= FLETCHER 89
452= MCFADYEN 89
452= NEILL 89
452= OGILVIE 89
452= RAFFERTY 89
452= THOM 89
459= CUTHBERT 88
459= DUNBAR 88
459= DUTHIE 88
459= WALSH 88
463= BURKE 87
463= GOW 87
463= KILPATRICK 87
463= MCNAB 87
463= MCQUEEN 87
463= PEACOCK 87
469= ELLIOT 86
469= JARDINE 86
469= KYLE 86
469= SHANKS 86
473= LYON 85
473= MCDERMOTT 85
473= SOMERVILLE 85
476= ARTHUR 84
476= COCKBURN 84
476= GOLDIE 84
476= MEIKLE 84
480= DICKIE 83
480= DOIG 83
480= O'HARA 83
483= BARBOUR 82
483= MCCLUSKEY 82
483= ROY 82
483= WAUGH 82
487= MCALPINE 81
487= MCHUGH 81
487= ROBSON 81
490= BORTHWICK 80
490= FOX 80
490= NIMMO 80
493= LOCKHART 79
493= MACIVER 79
493= MANN 79
493= MCGRATH 79
493= MELDRUM 79
498= ALLEN 78
498= CANNON 78
498= CARRUTHERS 78
498= COULL 78
498= CUTHBERTSON 78
498= PALMER 78
498= SEMPLE 78
498= WISHART 78
506= ANDREW 77
506= BALFOUR 77
506= BERRY 77
506= FINNIE 77
506= MALONE 77
506= WYLLIE 77
512= CAIRNEY 76
512= CORMACK 76
512= GORMAN 76
512= HORNE 76
512= MCDADE 76
512= MCNICOL 76
512= MCPHAIL 76
512= NAPIER 76
512= PRINGLE 76
512= RAMAGE 76
512= SLATER 76
512= WEST 76
524= BINNIE 75
524= BRAND 75
524= BURGESS 75
524= MCNALLY 75
524= MORAN 75
529= BOOTH 74
529= DEANS 74
529= LUMSDEN 74
529= MCGUINNESS 74
529= MCKEOWN 74
529= RODGERS 74
535= ANDREWS 73
535= BARRON 73
535= DODDS 73
535= MCGOVERN 73
535= MCNAUGHTON 73
535= O'CONNOR 73
535= RICHMOND 73
542= DEMPSTER 72
542= GARDEN 72
542= MCCLURE 72
542= MCCREADIE 72
546= BOWMAN 71
546= CONWAY 71
546= CROMBIE 71
546= HERON 71
546= MCKEE 71
546= MCKIE 71
546= MCLENNAN 71
546= PATRICK 71
554= HASTIE 70
554= PHILIP 70
554= RYAN 70
557= BLACKWOOD 69
557= BUTLER 69
557= DRYSDALE 69
557= GILLAN 69
557= HOPE 69
557= MASSON 69
557= MCCRACKEN 69
557= STEVEN 69
565= BOWIE 68
565= INGRAM 68
565= MCAULAY 68
565= TEMPLETON 68
565= TRAYNOR 68
570= ARNOTT 67
570= DAVIE 67
570= LAURIE 67
570= LIDDELL 67
570= MCFADDEN 67
570= MCLEISH 67
570= O'ROURKE 67
570= RICE 67
570= SUMMERS 67
579= BANKS 66
579= BRENNAN 66
579= GILL 66
579= KNIGHT 66
